price,bedrooms,totalbedrooms,bathrooms,propertyType,BuildingType,storeys,communityName,title,landSize,Builtin,parkingType,totalFinishedArea,appliancesIncluded,foundationType,style,architectureStyle,basementType,po4,po3
320000,3,3,2,Single Family,House,2,Truro,Freehold,under 1/2 acre,1955.0,,1704.0,"Stove, Dishwasher, Dryer, Washer, Refrigerator",Poured Concrete,Detached,,,B2N1,B2N
749000,5,5,2,Single Family,House,2,Dartmouth,Freehold,under 1/2 acre,,Parking Space(s),1500.0,"Stove, Microwave, Refrigerator",Poured Concrete,Detached,,,B2Y1,B2Y
519000,3,3,4,Single Family,House,2,Hubley,Freehold,1/2 - 1 acre,2008.0,"Garage, Detached Garage, Gravel",2618.0,"Stove, Dishwasher, Dryer, Washer, Microwave Range Hood Combo, Refrigerator",Poured Concrete,Detached,,,B3Z4,B3Z
199900,3,3,2,Single Family,House,2,Bridgewater,Freehold,under 1/2 acre,,,1186.0,"Range, Refrigerator",Poured Concrete,Detached,,Full (Unfinished),B4V1,B4V
839900,3,3,4,Single Family,House,2,Timberlea,Freehold,under 1/2 acre,,"Garage, Attached Garage",2319.0,None,Poured Concrete,Detached,,,B3T0,B3T
369900,3,3,2,Single Family,House,1,Lower Sackville,Freehold,under 1/2 acre,1973.0,,2050.0,"Stove, Dishwasher, Dryer, Washer, Microwave Range Hood Combo, Refrigerator",Poured Concrete,Detached,Character,Full (Finished),B4C1,B4C
779000,3,4,4,Single Family,House,2,West Bedford,Freehold,under 1/2 acre,2015.0,"Garage, Attached Garage",2892.0,"Range, Stove, Dryer, Washer, Refrigerator",Poured Concrete,Detached,,,B4B1,B4B
1285900,4,5,4,Single Family,House,2,Middle Sackville,Freehold,1 - 3 acres,,"Garage, Attached Garage, Gravel",3879.0,"Range - Electric, Dishwasher, Dryer, Washer, Refrigerator, Wine Fridge",Poured Concrete,Detached,,,B0N1,B0N
749000,4,4,4,Single Family,House,2,Hammonds Plains,Freehold,1 - 3 acres,2006.0,"Garage, Attached Garage",3845.0,,Poured Concrete,Detached,,,B4B2,B4B
300000,3,3,3,Single Family,Row / Townhouse,2,Clayton Park,Condominium/Strata,under 1/2 acre,1979.0,,1798.0,,Poured Concrete,,2 Level,,B3M3,B3M
1200000,1,3,3,Single Family,House,1,Mount Uniacke,Freehold,1 - 3 acres,2011.0,"Garage, Attached Garage, Gravel",3314.0,"Gas stove(s), Dishwasher, Dryer - Electric, Washer, Microwave, Refrigerator, Central Vacuum",Poured Concrete,Detached,Character,,B0N1,B0N
475000,3,5,4,Single Family,House,1,Halifax,Freehold,under 1/2 acre,1975.0,"Garage, Attached Garage",2826.0,,Poured Concrete,Detached,,,B3M1,B3M
350000,2,4,2,Single Family,House,1,Centreville,Freehold,under 1/2 acre,1988.0,Gravel,2106.0,,Poured Concrete,Detached,,Full (Finished),B0P1,B0P
729900,2,2,2,Single Family,Apartment,1,Halifax,Condominium/Strata,under 1/2 acre,2007.0,"Garage, Underground",1281.0,,Poured Concrete,,,None,B3K0,B3K
699900,4,4,3,Single Family,House,3,Hubbards,Freehold,1 - 3 acres,2020.0,Gravel,2717.0,"Cooktop - Propane, Oven - Electric, Dryer - Electric, Washer, Refrigerator",Poured Concrete,Detached,,,B0J1,B0J
699000,3,3,2,Single Family,House,2,Bridgewater,Freehold,under 1/2 acre,,"Garage, Attached Garage, Parking Space(s)",2820.0,"Cooktop - Propane, Oven - Electric, Dishwasher, Refrigerator, Gas stove(s)","Poured Concrete, Concrete Slab",Detached,,None,B4V9,B4V
1195000,5,5,3,Single Family,House,3,Halifax,Freehold,under 1/2 acre,1918.0,,2682.0,"Stove, Dishwasher, Dryer, Washer, Freezer, Microwave, Refrigerator",Poured Concrete,Detached,3 Level,Full,B3H3,B3H
365000,0,3,2,Single Family,House,1,Eastern Passage,Freehold,under 1/2 acre,,,1458.0,"Stove, Dishwasher, Dryer, Washer, Refrigerator, Central Vacuum",Poured Concrete,Detached,,,B3G1,B3G
499000,3,3,3,Single Family,House,2,Westville,Freehold,1/2 - 1 acre,2011.0,"Garage, Detached Garage",1630.0,"Range, Dishwasher, Dryer, Washer, Refrigerator, Wine Fridge",Poured Concrete,Detached,,,B0K2,B0K
699900,3,3,3,Single Family,House,2,Beaver Bank,Freehold,1 - 3 acres,2004.0,"Garage, Attached Garage",1856.0,"Range, Stove, Dishwasher, Dryer, Washer, Microwave, Central Vacuum",Poured Concrete,Detached,Cape Cod,Full (Partially finished),B4E3,B4E
800000,3,4,4,Single Family,House,2,Fall River,Freehold,1 - 3 acres,2010.0,"Garage, Attached Garage, Detached Garage",3278.0,Central Vacuum,Poured Concrete,Detached,,Full (Finished),B2T0,B2T
700000,3,4,3,Single Family,House,1,Fall River,Freehold,1 - 3 acres,1999.0,"Garage, Gravel",3653.0,,Poured Concrete,Detached,Character,Full (Finished),B2T1,B2T
475000,3,4,1,Single Family,House,1,Fall River,Freehold,under 1/2 acre,1979.0,"Garage, Detached Garage",2038.0,,Poured Concrete,Detached,Chalet,Full (Finished),B2T1,B2T
849900,2,2,2,Single Family,Apartment,1,Halifax,Condominium/Strata,under 1/2 acre,2018.0,"Garage, Underground, Other",1425.0,"Range, Dishwasher, Dryer, Washer, Microwave, Refrigerator",Poured Concrete,,,Unknown,B3H0,B3H
619000,2,2,1,Single Family,House,1,Halifax,Freehold,under 1/2 acre,1953.0,Garage,1592.0,"Range, Dishwasher, Dryer, Washer, Refrigerator",Poured Concrete,Detached,Character,,B3N1,B3N
549900,3,3,4,Single Family,House,2,Halifax,Freehold,under 1/2 acre,2018.0,"Garage, Attached Garage",1905.0,"Barbeque, Range - Electric, Dishwasher, Dryer - Electric, Washer, Microwave Range Hood Combo, Refrigerator",Poured Concrete,Detached,3 Level,Full (Finished),B3P0,B3P
425000,3,4,3,Single Family,House,1,Cole Harbour,Freehold,under 1/2 acre,1983.0,"Garage, Attached Garage",2289.0,"Stove, Dishwasher, Dryer, Washer, Microwave, Refrigerator",Poured Concrete,Detached,,Full (Finished),B2V1,B2V
439000,3,3,1,Single Family,House,2,Lunenburg,Freehold,1/2 - 1 acre,1855.0,Gravel,1371.0,"Barbeque, Range - Electric, Dishwasher, Dryer, Washer, Refrigerator",Stone,Detached,,Full (Unfinished),B0J2,B0J
799900,3,4,4,Single Family,House,2,Upper Tantallon,Freehold,1/2 - 1 acre,2014.0,"Garage, Attached Garage",3500.0,"Range, Dishwasher, Dryer, Washer, Microwave Range Hood Combo, Refrigerator",Poured Concrete,Detached,,Full (Partially finished),B3Z1,B3Z
525000,4,4,3,Single Family,House,2,Nictaux,Freehold,1/2 - 1 acre,1974.0,"Garage, Detached Garage",2448.0,,Poured Concrete,Detached,,Full (Partially finished),B0S1,B0S
489900,3,3,3,Single Family,House,2,Hammonds Plains,Freehold,1 - 3 acres,1996.0,"Garage, Gravel",1728.0,"Central Vacuum, Stove, Dishwasher, Dryer, Washer, Refrigerator",Poured Concrete,Detached,,,B4B1,B4B
169000,3,3,1,Single Family,Mobile Home,1,Middle Sackville,Leasehold,under 1/2 acre,2006.0,,896.0,"Stove, Dryer, Washer, Refrigerator",,,Mini,None,B4C1,B4C
749900,4,4,3,Single Family,House,2,Bedford,Freehold,under 1/2 acre,1984.0,"Garage, Attached Garage",2741.0,"Range - Electric, Dishwasher, Dryer - Electric, Washer, Microwave, Refrigerator",Poured Concrete,Detached,,,B4A3,B4A
349900,2,2,2,Single Family,Row / Townhouse,1,Bible Hill,Freehold,under 1/2 acre,2019.0,Garage,1050.0,"Stove, Dishwasher, Dryer, Washer, Microwave Range Hood Combo, Refrigerator","Poured Concrete, Concrete Slab",,Character,None,B2N0,B2N
374900,3,5,2,Single Family,House,1,Greenwood,Freehold,under 1/2 acre,2003.0,"Garage, Attached Garage",2362.0,"Dishwasher, Central Vacuum",Poured Concrete,Detached,,Full (Finished),B0P1,B0P
799000,4,4,4,Single Family,House,2,Middle Sackville,Freehold,1 - 3 acres,2016.0,"Garage, Attached Garage, Detached Garage, Gravel",3494.0,"Stove, Dishwasher, Dryer, Washer/Dryer Combo, Refrigerator, Central Vacuum",Poured Concrete,Detached,,Full,B4E0,B4E
499900,3,4,4,Single Family,House,2,Halifax,Freehold,under 1/2 acre,2019.0,,1957.0,"Stove, Dishwasher, Dryer, Washer, Microwave Range Hood Combo, Refrigerator",Poured Concrete,Detached,,Full (Finished),B3P0,B3P
439000,3,3,2,Single Family,House,2,Dartmouth,Freehold,under 1/2 acre,1959.0,"Garage, Detached Garage",1582.0,"Stove, Dishwasher, Dryer, Washer, Microwave, Refrigerator",Poured Concrete,Detached,Character,Full (Finished),B3A2,B3A
499000,2,2,2,Single Family,Apartment,1,Halifax,Condominium/Strata,,2003.0,"Garage, Underground, Parking Space(s)",1550.0,"Stove, Dishwasher, Dryer, Washer, Refrigerator",Poured Concrete,,,None,B3M4,B3M
479900,2,2,2,Single Family,Apartment,2,Halifax Peninsula,Condominium/Strata,,2016.0,"Garage, Underground, Parking Space(s)",953.0,"Range, Dishwasher, Dryer, Washer, Microwave, Refrigerator, Intercom",,,,None,B3K0,B3K
399900,1,1,1,Single Family,Apartment,1,Dartmouth,Condominium/Strata,under 1/2 acre,1986.0,"Garage, Underground",911.0,"Stove, Dishwasher, Dryer, Washer, Microwave Range Hood Combo, Refrigerator, Intercom",Poured Concrete,,,Unknown,B2Y4,B2Y
1060000,3,3,4,Single Family,House,2,Cole Harbour,Freehold,under 1/2 acre,1993.0,"Garage, Attached Garage",3859.0,"Stove, Dishwasher, Dryer, Washer, Microwave Range Hood Combo, Refrigerator",Poured Concrete,Detached,,Full (Finished),B2V2,B2V
349900,2,2,2,Single Family,Apartment,1,Halifax,Condominium/Strata,Unknown,2010.0,"Garage, Underground",1224.0,"Stove, Dishwasher, Washer/Dryer Combo, Refrigerator",Poured Concrete,,None,,B3N0,B3N
958000,4,4,4,Single Family,House,2,Halifax,Freehold,under 1/2 acre,2009.0,Garage,4080.0,"Cooktop - Electric, Oven - Electric, Dishwasher, Dryer - Electric, Washer, Refrigerator, Central Vacuum",Poured Concrete,Detached,,,B3N3,B3N
224900,2,2,1,Single Family,House,1,Dartmouth,Freehold,under 1/2 acre,1962.0,Gravel,664.0,"Stove, Dryer, Washer, Refrigerator",Concrete Block,Detached,Character,Crawl space,B2Y2,B2Y
349900,3,3,1,Single Family,House,2,Dartmouth,Freehold,under 1/2 acre,1957.0,,1313.0,,Poured Concrete,Detached,,Full (Unfinished),B2Y3,B2Y
689000,3,3,2,Single Family,House,1,Hubley,Freehold,1/2 - 1 acre,2015.0,"Garage, Attached Garage, Detached Garage",1992.0,,Concrete Slab,Detached,Character,None,B3Z1,B3Z
399900,3,5,3,Single Family,House,1,Middle Sackville,Freehold,under 1/2 acre,1996.0,"Garage, Attached Garage, Gravel",2250.0,"Range - Electric, Dishwasher, Dryer - Electric, Washer, Refrigerator",Poured Concrete,Detached,Character,,B4E3,B4E
1200000,6,6,4,Single Family,House,2,Lakeview,Freehold,1 - 3 acres,1983.0,"Garage, Detached Garage, Gravel",4065.0,Central Vacuum,Poured Concrete,Detached,,,B4C4,B4C
259900,3,3,1,Single Family,House,2,Lower Sackville,Freehold,under 1/2 acre,1972.0,,1403.0,,Poured Concrete,Detached,,,B4C1,B4C
469900,2,2,3,Single Family,House,1,Middle Sackville,Freehold,under 1/2 acre,2010.0,"Garage, Attached Garage",1864.0,"Oven, Dishwasher, Dryer, Washer, Refrigerator",Poured Concrete,Detached,2 Level,,B4E0,B4E
525000,3,3,2,Single Family,House,2,East Petpeswick,Freehold,1 - 3 acres,,"Garage, Attached Garage, Gravel",1735.0,"Stove, Dishwasher, Dryer, Washer, Microwave, Refrigerator, Central Vacuum",Poured Concrete,Detached,,Crawl space,B0J2,B0J
345000,3,4,2,Single Family,House,1,New Glasgow,Freehold,under 1/2 acre,1999.0,,2400.0,"Range - Electric, Dishwasher, Garburator, Refrigerator",Poured Concrete,Detached,Character,Full (Finished),B2H5,B2H
230000,4,4,2,Single Family,House,2,Stellarton,Freehold,1/2 - 1 acre,,Gravel,1500.0,"Dishwasher, Dryer, Washer, Refrigerator",Concrete Block,Detached,,,B0K1,B0K
315000,3,3,3,Single Family,House,2,Greenwood,Freehold,1 - 3 acres,2012.0,"Garage, Attached Garage",2400.0,"Range - Electric, Dishwasher, Refrigerator",Poured Concrete,Semi-detached,,Full (Partially finished),B0P1,B0P
125000,4,4,2,Single Family,House,2,Parrsboro,Freehold,1/2 - 1 acre,1860.0,"Garage, Detached Garage, Gravel",2084.0,"Range, Dryer, Washer, Refrigerator",Stone,Detached,,,B0M1,B0M
379900,2,3,2,Single Family,House,1,Elmsdale,Freehold,under 1/2 acre,1997.0,"Garage, Detached Garage, Gravel",1872.0,,Poured Concrete,Detached,,Full (Finished),B2S1,B2S
399900,4,4,3,Single Family,House,2,Prospect Village,Freehold,under 1/2 acre,1966.0,"Garage, Detached Garage, Parking Space(s)",2853.0,"Oven, Dryer, Washer, Refrigerator",Poured Concrete,Detached,,,B3T1,B3T
379000,4,4,2,Single Family,House,2,Stellarton,Freehold,under 1/2 acre,,Gravel,2000.0,"Stove, Dryer, Washer, Refrigerator",Poured Concrete,Detached,,Full (Unfinished),B0K1,B0K
479000,2,2,2,Single Family,Apartment,1,Bedford,Condominium/Strata,,2003.0,"Garage, Underground, Parking Space(s)",1215.0,"Stove, Dishwasher, Dryer, Washer, Microwave, Refrigerator",Concrete Block,,Other,Unknown,B4A2,B4A
187900,2,2,1,Single Family,House,1,Fall River,Unknown,,2014.0,None,784.0,"Stove, Dryer, Washer, Refrigerator",,Detached,Mini,None,B2T1,B2T
